Work Item Type,Title 1,Title 2,Title 3,Description,State,Tags
Epic,Program Office Creation,,,"<div><span lang=EN-US style=""margin:0px;font-size:10pt;text-align:left;font-family:&quot;Segoe UI&quot;, &quot;Segoe UI_EmbeddedFont&quot;, &quot;Segoe UI_MSFontService&quot;, sans-serif;""><span style=""margin:0px;"">The Program Office will help provide&nbsp;<span lang=EN-US style=""margin:0px;font-size:10pt;font-family:&quot;Segoe UI&quot;, &quot;Segoe UI_EmbeddedFont&quot;, &quot;Segoe UI_MSFontService&quot;, sans-serif;""><span style=""margin:0px;"">o</span><span style=""margin:0px;"">verall</span><span style=""margin:0px;""><span>&nbsp;</span>timeline and resourc</span><span style=""margin:0px;"">e management</span><span style=""margin:0px;""><span>&nbsp;</span>for successful Data Strategy delivery for<span>&nbsp;[</span></span></span><span lang=EN-US style=""margin:0px;color:rgb(255, 0, 255);font-size:10pt;font-style:italic;font-family:&quot;Segoe UI&quot;, &quot;Segoe UI_EmbeddedFont&quot;, &quot;Segoe UI_MSFontService&quot;, sans-serif;""><span style=""margin:0px;color:rgb(0, 0, 0);"">customer]</span></span><span lang=EN-US style=""margin:0px;font-size:10pt;font-family:&quot;Segoe UI&quot;, &quot;Segoe UI_EmbeddedFont&quot;, &quot;Segoe UI_MSFontService&quot;, sans-serif;""><span style=""margin:0px;"">,<span>&nbsp;</span></span><span style=""margin:0px;"">including<span>&nbsp;</span></span><span style=""margin:0px;"">tracking and communications</span><span style=""margin:0px;"">.</span></span></span></span></div><div><span style=""margin:0px;font-size:10pt;text-align:left;font-family:&quot;Segoe UI&quot;, &quot;Segoe UI_EmbeddedFont&quot;, &quot;Segoe UI_MSFontService&quot;, sans-serif;""><br></span></div>",New,
Feature,,Manage Data Strategy Program Office,,,New,
User Story,,,Enable DSPO to Track Work Tasks,"<div>As a Digital Advisor, I need to provide a way for the Customer to keep track of overall timeline and resource management for successful Data Strategy delivery within Azure DevOps</div>",New,
User Story,,,Budget Tracking for DSPO,"<div>As a Digital Advisor, I need to create a process that will allow the Customer to monitor the current spending of their allotted budget</div>",New,
User Story,,,Program Success Metrics,"<div>As a Digital Advisor, I need to work along the Customer to define the success metrics of a successful Data Strategy delivery and establish a sprint cadence that will manage the team and keep everyone aligned on reaching our goals</div>",New,
Epic,Define Data Strategy,,,"<div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;display:inline !important;"">This epic captures a need for a&nbsp;</span><span style=""box-sizing:border-box;"">Data Strategy to be defined to enable the realization of&nbsp;</span><span style=""box-sizing:border-box;"">insights from data assets.</span></div></div>",New,
Feature,,Data Maturity Assessment,,"<div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;display:inline !important;"">This feature describes the set of capabilities required to assist with defining the current Data Maturity</span><span style=""box-sizing:border-box;display:inline !important;"">.<span style=""box-sizing:border-box;"">&nbsp;</span></span><span style=""box-sizing:border-box;display:inline !important;"">This feature is intended to help define the current data maturity so areas for discussion can be identified prior to, and during, the execution of the Data Strategy workshops.</span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;display:inline !important;"">This feature is composed of the following capabilities:</span><br style=""box-sizing:border-box;""></div><div style=""box-sizing:border-box;""><ul style=""box-sizing:border-box;padding:0px 0px 0px 40px;""><li style=""box-sizing:border-box;""><span style=""box-sizing:border-box;display:inline !important;"">Define current data maturity through self-assessment</span></li><li style=""box-sizing:border-box;""><span style=""box-sizing:border-box;display:inline !important;"">Produce the data maturity report&nbsp;</span>to assist with the definition of the Data Strategy</li></ul></div><br><br>",New,
User Story,,,Discover and baseline Data Maturity,<div>As a Digital Advisor</div><div>I need to enable [Customer] to complete the data maturity assessment</div><div>So that the current Data Maturity can be defined and baselined prior to the Data Strategy workshops&nbsp;</div>,New,
Feature,,Data Strategy Workshops,,"<div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;display:inline !important;"">This feature describes the set of capabilities required to assist with defining the Data Strategy</span><span style=""box-sizing:border-box;display:inline !important;"">.<span style=""box-sizing:border-box;"">&nbsp;</span></span><span style="""">This feature is composed of the following capabilities:</span></div><div style=""box-sizing:border-box;""><ul style=""box-sizing:border-box;padding:0px 0px 0px 40px;""><li style=""box-sizing:border-box;""><span style=""box-sizing:border-box;display:inline !important;"">Discover the current Data Capability landscape</span></li><li style=""box-sizing:border-box;"">Define Objectives and Key Results to assist with focusing the Data Strategy outcomes</li><li style=""box-sizing:border-box;"">Assess People, Process and Change Management required to enable the Data Strategy outcomes</li></ul></div><br style=""box-sizing:border-box;""><br>",New,
User Story,,,Discover current Data Capability landscape,<div>As a Data Architect</div><div>I need to discover the current data capability landscape</div><div>So that I can assess the shared data services capabilities required to enable the Data Strategy and support use-case delivery</div>,New,
User Story,,,Define Objectives and Key Results,<div>As a Digital Advisor</div><div>I need to assist Customer in defining their Objectives and Key Results</div><div>So that a coherent Data Strategy can be defined</div>,New,
